year,GEOID,GeoName,emp_bio,gdp_bio,area_bio,species_bio
2010,01001,"Autauga, AL",11.812486,14.464517,.00095399126,.046
2010,01003,"Baldwin, AL",11.981843,13.029135,.075028367,.096109837
2010,01005,"Barbour, AL",10.354565,11.9148,.037208416,.036876354
2010,01007,"Bibb, AL",12.471803,15.036074,.029621236,.066793896
2010,01009,"Blount, AL",11.286509,13.742852,.13965224,.086879432
2010,01011,"Bullock, AL",10.017739,13.582681,.040798116,.043956045
2010,01013,"Butler, AL",11.744678,12.251851,.01351328,.043137256
2010,01015,"Calhoun, AL",11.138091,11.725989,.039457973,.052511416
2010,01017,"Chambers, AL",11.124626,12.20957,.046656851,.028985508
2010,01019,"Cherokee, AL",11.384246,12.830136,.032526255,.045766592
2010,01021,"Chilton, AL",11.699097,12.887468,.00021850418,.059386972
2010,01023,"Choctaw, AL",12.264292,12.52887,.023511538,.039447732
2010,01025,"Clarke, AL",11.390857,12.273001,.017858915,.04612546
2010,01027,"Clay, AL",10.036319,11.941607,.032012779,.049040511
2010,01029,"Cleburne, AL",13.539874,14.285762,.010888623,.047085203
2010,01031,"Coffee, AL",10.880548,12.446856,.026328811,.038379531
2010,01033,"Colbert, AL",11.711528,13.140563,.10148577,.084507041
2010,01035,"Conecuh, AL",11.980901,16.678541,.00021620948,.045537341
2010,01037,"Coosa, AL",10.14267,13.072147,.071417518,.047422681
2010,01039,"Covington, AL",11.221907,13.989469,0,.038986355
2010,01041,"Crenshaw, AL",10.825951,12.96064,.00084653648,.044692736
2010,01043,"Cullman, AL",11.297114,12.134852,0,.086572438
2010,01045,"Dale, AL",12.231935,11.15317,.00054149667,.036036037
2010,01047,"Dallas, AL",10.707683,11.35133,.0090245456,.056640625
2010,01049,"DeKalb, AL",10.478077,11.708594,.015168862,.085964911
2010,01051,"Elmore, AL",11.324025,12.688694,.14051732,.045725647
2010,01053,"Escambia, AL",11.754758,14.009476,.022048699,.045138888
2010,01055,"Etowah, AL",10.872513,12.59896,.0010765489,.081705153
2010,01057,"Fayette, AL",10.621474,17.004183,.029334255,.059304703
2010,01059,"Franklin, AL",10.971402,11.808458,0,.084690556
2010,01061,"Geneva, AL",12.148105,14.150599,.019210424,.035269711
2010,01063,"Greene, AL",11.80972,16.08189,.052054022,.048192769
2010,01065,"Hale, AL",14.800533,13.074135,.003772513,.042510122
2010,01067,"Henry, AL",13.37486,13.596466,.017384022,.037199125
2010,01069,"Houston, AL",11.224363,13.268271,.020760873,.035269711
2010,01071,"Jackson, AL",10.552588,13.089427,.070451558,.1
2010,01073,"Jefferson, AL",11.660754,12.130078,.078820117,.080979288
2010,01075,"Lamar, AL",12.756031,12.395951,.013651173,.047619049
2010,01077,"Lauderdale, AL",11.295544,12.57346,.060228936,.085714288
2010,01079,"Lawrence, AL",11.136905,12.05596,.022488015,.089376055
2010,01081,"Lee, AL",11.421147,13.05344,.025289388,.03256705
2010,01083,"Limestone, AL",11.61992,15.549677,.0090371007,.09259259
2010,01085,"Lowndes, AL",10.544185,11.765,.015673965,.044834308
2010,01087,"Macon, AL",12.677665,14.428553,.01750212,.033932135
2010,01089,"Madison, AL",11.624567,12.231426,.054020055,.089353614
2010,01091,"Marengo, AL",10.923075,11.756736,.005644687,.049808428
2010,01093,"Marion, AL",10.372482,11.337339,.048426181,.050000001
2010,01095,"Marshall, AL",11.082945,11.934418,.061170906,.093587525
2010,01097,"Mobile, AL",11.720864,12.637733,.036665328,.098722413
2010,01099,"Monroe, AL",11.11094,11.644783,.19875216,.048913043
2010,01101,"Montgomery, AL",11.409635,11.731248,.01878505,.044573642
2010,01103,"Morgan, AL",11.209243,12.013751,.024751045,.08665511
2010,01105,"Perry, AL",11.229057,12.349504,.048182573,.061420344
2010,01107,"Pickens, AL",10.191477,13.333385,.039651774,.042283297
2010,01109,"Pike, AL",11.210639,11.834652,.026171137,.042635661
2010,01111,"Randolph, AL",10.216293,13.222643,.079423033,.036717061
2010,01113,"Russell, AL",12.509825,12.476412,.010892383,.034816246
2010,01115,"St. Clair, AL",11.675273,12.604567,.044107024,.083333336
2010,01117,"Shelby, AL",11.543158,13.054729,.014053122,.072519086
2010,01119,"Sumter, AL",11.944069,13.261844,.017960336,.046184737
2010,01121,"Talladega, AL",10.565957,11.772178,.0015392362,.059071731
2010,01123,"Tallapoosa, AL",11.065807,13.154882,.00094004319,.039014373
2010,01125,"Tuscaloosa, AL",11.735369,13.494783,.0079718679,.067049809
2010,01127,"Walker, AL",11.448533,13.749523,.033498529,.064182192
2010,01129,"Washington, AL",10.183684,12.53344,.016631372,.040219378
2010,01131,"Wilcox, AL",10.461326,11.846447,.0056622862,.047058824
2010,01133,"Winston, AL",10.267528,12.819996,.049630687,.06115108
2010,02013,"Aleutians East Borough, AK",15.330882,13.811522,.32732841,.13068181
2010,02016,"Aleutians West Census Area, AK",9.5153122,11.603931,.24651121,.11585366
2010,02020,"Anchorage Municipality, AK",12.624949,12.950133,.54202342,.094339624
2010,02050,"Bethel Census Area, AK",14.132778,13.034987,.43916678,.079439253
2010,02060,"Bristol Bay Borough, AK",10.855655,11.002836,.069997787,.096590906
2010,02063,"Chugach Census Area, AK*",,,,
2010,02066,"Copper River Census Area, AK*",,,,
2010,02068,"Denali Borough, AK",13.179104,15.959416,.53222769,.046979867
2010,02070,"Dillingham Census Area, AK",14.123421,10.926998,.31588432,.091891892
2010,02090,"Fairbanks North Star Borough, AK",12.009085,14.060633,.051546078,.035211269
2010,02100,"Haines Borough, AK",12.534108,12.607773,.076255746,.090909094
2010,02105,"Hoonah-Angoon Census Area, AK*",,13.887182,.66581041,.097276263
2010,02110,"Juneau City and Borough, AK",11.527025,15.925939,.20645168,.086419754
2010,02122,"Kenai Peninsula Borough, AK",11.860506,15.088137,.48223007,.097345136
2010,02130,"Ketchikan Gateway Borough, AK*",12.348646,12.958335,.53902757,.098039217
2010,02150,"Kodiak Island Borough, AK",10.375421,12.881606,.49959746,.11428571
2010,02158,"Kusilvak Census Area, AK*",,14.21161,.68460637,
2010,02164,"Lake and Peninsula Borough, AK",13.702778,11.554385,.37918621,.10619469
2010,02170,"Matanuska-Susitna Borough, AK",11.89705,13.727816,.17209415,.096069872
2010,02180,"Nome Census Area, AK",10.044347,14.710311,.10095923,.073529415
2010,02185,"North Slope Borough, AK",12.509288,22.008707,.26998442,.05235602
2010,02188,"Northwest Arctic Borough, AK",12.861503,21.162987,.49547899,.052631579
2010,02195,"Petersburg Borough, AK*",,13.905275,.25010782,.098360658
2010,02198,"Prince of Wales-Hyder Census Area, AK*",,14.755417,.047805075,.10196079
2010,02201,"Prince of Wales-Outer Ketchikan Census Area, AK*",13.71875,,,
2010,02220,"Sitka City and Borough, AK",10.907271,12.418435,.17037472,.12643678
2010,02230,"Skagway Municipality, AK*",,13.479491,.041176926,.091286309
2010,02232,"Skagway-Hoonah-Angoon Census Area, AK*",14.27762,,,
2010,02240,"Southeast Fairbanks Census Area, AK",13.238043,19.971298,.1842252,.038216561
2010,02261,"Valdez-Cordova Census Area, AK*",10.812124,12.676085,,.085365854
2010,02270,,15.333333,,,.082872927
2010,02275,"Wrangell City and Borough, AK*",,14.988316,.16210492,.096234307
2010,02280,"Wrangell-Petersburg Census Area, AK*",12.34137,,,
2010,02282,"Yakutat City and Borough, AK*",13.105735,14.862782,.51832414,.093877554
2010,02290,"Yukon-Koyukuk Census Area, AK",14.884751,15.898993,.36903253,.046391752
2010,04001,"Apache, AZ",10.43132,12.448954,.020624345,.033519555
2010,04003,"Cochise, AZ",12.409059,13.50878,.069988854,.038876891
2010,04005,"Coconino, AZ",11.099805,13.568877,.10782709,.04187192
2010,04007,"Gila, AZ",12.935809,16.580532,.088874169,.034210525
2010,04009,"Graham, AZ",11.664998,13.303738,.063720077,.029411765
2010,04011,"Greenlee, AZ",14.383333,22.40513,.1695414,.032171581
2010,04012,"La Paz, AZ",11.510857,14.209789,.14700603,.037142858
2010,04013,"Maricopa, AZ",11.762046,12.518547,.13915831,.032499999
2010,04015,"Mohave, AZ",11.577004,12.968242,.29374826,.043902438
2010,04017,"Navajo, AZ",11.658765,14.193315,.0045867078,.041322313
2010,04019,"Pima, AZ",11.369754,12.587457,.21602602,.028138528
2010,04021,"Pinal, AZ",12.239729,14.452117,.066836327,.032581452
